run,method,iterations,runtime,tp,fn,fp,tn,accuracy,precision,recall,specificity,f1
run_05,DAPSO-4,40,109.0,22,4,11,77,0.868421052631579,0.6666666666666666,0.8461538461538461,0.875,0.7457627118644068
run_05,DAPSO-4,50,133.0,22,4,11,77,0.868421052631579,0.6666666666666666,0.8461538461538461,0.875,0.7457627118644068
run_05,DAPSO-4,60,102.0,21,5,10,78,0.868421052631579,0.6774193548387096,0.8076923076923077,0.8863636363636364,0.7368421052631579
run_05,DAPSO-4,70,142.0,21,5,10,78,0.868421052631579,0.6774193548387096,0.8076923076923077,0.8863636363636364,0.7368421052631579
run_05,DAPSO-4,80,177.0,21,5,10,78,0.868421052631579,0.6774193548387096,0.8076923076923077,0.8863636363636364,0.7368421052631579
run_05,DAPSO-4,90,6205.0,21,5,10,78,0.868421052631579,0.6774193548387096,0.8076923076923077,0.8863636363636364,0.7368421052631579
run_05,DAPSO-4,100,201.0,21,5,10,78,0.868421052631579,0.6774193548387096,0.8076923076923077,0.8863636363636364,0.7368421052631579
run_05,DAPSO-10,10,24.0,22,4,9,79,0.8859649122807017,0.7096774193548387,0.8461538461538461,0.8977272727272727,0.7719298245614036
run_05,DAPSO-10,20,41.0,22,4,11,77,0.868421052631579,0.6666666666666666,0.8461538461538461,0.875,0.7457627118644068
run_05,DAPSO-10,30,62.0,22,4,11,77,0.868421052631579,0.6666666666666666,0.8461538461538461,0.875,0.7457627118644068
run_05,DAPSO-10,40,68.0,22,4,11,77,0.868421052631579,0.6666666666666666,0.8461538461538461,0.875,0.7457627118644068
run_05,DAPSO-10,50,91.0,22,4,11,77,0.868421052631579,0.6666666666666666,0.8461538461538461,0.875,0.7457627118644068
run_05,DAPSO-10,60,79.0,21,5,10,78,0.868421052631579,0.6774193548387096,0.8076923076923077,0.8863636363636364,0.7368421052631579
run_05,DAPSO-10,70,109.0,21,5,10,78,0.868421052631579,0.6774193548387096,0.8076923076923077,0.8863636363636364,0.7368421052631579
run_05,DAPSO-10,80,133.0,21,5,10,78,0.868421052631579,0.6774193548387096,0.8076923076923077,0.8863636363636364,0.7368421052631579
run_05,DAPSO-10,90,126.0,21,5,10,78,0.868421052631579,0.6774193548387096,0.8076923076923077,0.8863636363636364,0.7368421052631579
run_05,DAPSO-10,100,150.0,21,5,10,78,0.868421052631579,0.6774193548387096,0.8076923076923077,0.8863636363636364,0.7368421052631579
run_06,PSO,10,35.0,21,5,13,75,0.8421052631578947,0.6176470588235294,0.8076923076923077,0.8522727272727273,0.7
run_06,PSO,20,72.0,21,5,13,75,0.8421052631578947,0.6176470588235294,0.8076923076923077,0.8522727272727273,0.7
run_06,PSO,30,108.0,21,5,13,75,0.8421052631578947,0.6176470588235294,0.8076923076923077,0.8522727272727273,0.7
run_06,PSO,40,140.0,21,5,13,75,0.8421052631578947,0.6176470588235294,0.8076923076923077,0.8522727272727273,0.7
run_06,PSO,50,177.0,21,5,13,75,0.8421052631578947,0.6176470588235294,0.8076923076923077,0.8522727272727273,0.7
run_06,PSO,60,239.0,21,5,13,75,0.8421052631578947,0.6176470588235294,0.8076923076923077,0.8522727272727273,0.7
run_06,PSO,70,279.0,21,5,13,75,0.8421052631578947,0.6176470588235294,0.8076923076923077,0.8522727272727273,0.7
run_06,PSO,80,317.0,21,5,13,75,0.8421052631578947,0.6176470588235294,0.8076923076923077,0.8522727272727273,0.7
run_06,PSO,90,359.0,21,5,13,75,0.8421052631578947,0.6176470588235294,0.8076923076923077,0.8522727272727273,0.7
